source,target,relation,status
Stakeholder,BusinessService,Triggering,deny
Stakeholder,BusinessService,Flow,deny
Stakeholder,BusinessService,Specialization,deny
Stakeholder,BusinessService,Association,allow
Stakeholder,BusinessObject,Composition,deny
Stakeholder,BusinessObject,Aggregation,deny
Stakeholder,BusinessObject,Assignment,deny
Stakeholder,BusinessObject,Realization,deny
Stakeholder,BusinessObject,Serving,deny
Stakeholder,BusinessObject,Access,deny
Stakeholder,BusinessObject,Influence,deny
Stakeholder,BusinessObject,Triggering,deny
Stakeholder,BusinessObject,Flow,deny
Stakeholder,BusinessObject,Specialization,deny
Stakeholder,BusinessObject,Association,allow
Stakeholder,Contract,Composition,deny
Stakeholder,Contract,Aggregation,deny
Stakeholder,Contract,Assignment,deny
Stakeholder,Contract,Realization,deny
Stakeholder,Contract,Serving,deny
Stakeholder,Contract,Access,deny
Stakeholder,Contract,Influence,deny
Stakeholder,Contract,Triggering,deny
Stakeholder,Contract,Flow,deny
Stakeholder,Contract,Specialization,deny
Stakeholder,Contract,Association,allow
Stakeholder,Representation,Composition,deny
Stakeholder,Representation,Aggregation,deny
Stakeholder,Representation,Assignment,deny
Stakeholder,Representation,Realization,deny
Stakeholder,Representation,Serving,deny
Stakeholder,Representation,Access,deny
Stakeholder,Representation,Influence,deny
Stakeholder,Representation,Triggering,deny
Stakeholder,Representation,Flow,deny
Stakeholder,Representation,Specialization,deny
Stakeholder,Representation,Association,allow
Stakeholder,Product,Composition,deny
Stakeholder,Product,Aggregation,deny
Stakeholder,Product,Assignment,deny
Stakeholder,Product,Realization,deny
Stakeholder,Product,Serving,deny
Stakeholder,Product,Access,deny
Stakeholder,Product,Influence,deny
Stakeholder,Product,Triggering,deny
Stakeholder,Product,Flow,deny
Stakeholder,Product,Specialization,deny
Stakeholder,Product,Association,allow
Stakeholder,ApplicationComponent,Composition,deny
Stakeholder,ApplicationComponent,Aggregation,deny
Stakeholder,ApplicationComponent,Assignment,deny
Stakeholder,ApplicationComponent,Realization,deny
Stakeholder,ApplicationComponent,Serving,deny
Stakeholder,ApplicationComponent,Access,deny
Stakeholder,ApplicationComponent,Influence,deny
Stakeholder,ApplicationComponent,Triggering,deny
Stakeholder,ApplicationComponent,Flow,deny
Stakeholder,ApplicationComponent,Specialization,deny
Stakeholder,ApplicationComponent,Association,allow
Stakeholder,ApplicationCollaboration,Composition,deny
Stakeholder,ApplicationCollaboration,Aggregation,deny
Stakeholder,ApplicationCollaboration,Assignment,deny
Stakeholder,ApplicationCollaboration,Realization,deny
Stakeholder,ApplicationCollaboration,Serving,deny
Stakeholder,ApplicationCollaboration,Access,deny
Stakeholder,ApplicationCollaboration,Influence,deny
Stakeholder,ApplicationCollaboration,Triggering,deny
Stakeholder,ApplicationCollaboration,Flow,deny
Stakeholder,ApplicationCollaboration,Specialization,deny
Stakeholder,ApplicationCollaboration,Association,allow
Stakeholder,ApplicationInterface,Composition,deny
Stakeholder,ApplicationInterface,Aggregation,deny
Stakeholder,ApplicationInterface,Assignment,deny
Stakeholder,ApplicationInterface,Realization,deny
Stakeholder,ApplicationInterface,Serving,deny
Stakeholder,ApplicationInterface,Access,deny
Stakeholder,ApplicationInterface,Influence,deny
Stakeholder,ApplicationInterface,Triggering,deny
Stakeholder,ApplicationInterface,Flow,deny
Stakeholder,ApplicationInterface,Specialization,deny
Stakeholder,ApplicationInterface,Association,allow
Stakeholder,ApplicationFunction,Composition,deny
Stakeholder,ApplicationFunction,Aggregation,deny
Stakeholder,ApplicationFunction,Assignment,deny
Stakeholder,ApplicationFunction,Realization,deny
Stakeholder,ApplicationFunction,Serving,deny
Stakeholder,ApplicationFunction,Access,deny
Stakeholder,ApplicationFunction,Influence,deny
Stakeholder,ApplicationFunction,Triggering,deny
Stakeholder,ApplicationFunction,Flow,deny
Stakeholder,ApplicationFunction,Specialization,deny
Stakeholder,ApplicationFunction,Association,allow
Stakeholder,ApplicationInteraction,Composition,deny
Stakeholder,ApplicationInteraction,Aggregation,deny
Stakeholder,ApplicationInteraction,Assignment,deny
Stakeholder,ApplicationInteraction,Realization,deny
Stakeholder,ApplicationInteraction,Serving,deny
Stakeholder,ApplicationInteraction,Access,deny
Stakeholder,ApplicationInteraction,Influence,deny
Stakeholder,ApplicationInteraction,Triggering,deny
Stakeholder,ApplicationInteraction,Flow,deny
Stakeholder,ApplicationInteraction,Specialization,deny
Stakeholder,ApplicationInteraction,Association,allow
Stakeholder,ApplicationProcess,Composition,deny
Stakeholder,ApplicationProcess,Aggregation,deny
Stakeholder,ApplicationProcess,Assignment,deny
Stakeholder,ApplicationProcess,Realization,deny
Stakeholder,ApplicationProcess,Serving,deny
Stakeholder,ApplicationProcess,Access,deny
Stakeholder,ApplicationProcess,Influence,deny
Stakeholder,ApplicationProcess,Triggering,deny
Stakeholder,ApplicationProcess,Flow,deny
Stakeholder,ApplicationProcess,Specialization,deny
Stakeholder,ApplicationProcess,Association,allow
Stakeholder,ApplicationEvent,Composition,deny
Stakeholder,ApplicationEvent,Aggregation,deny
Stakeholder,ApplicationEvent,Assignment,deny
Stakeholder,ApplicationEvent,Realization,deny
Stakeholder,ApplicationEvent,Serving,deny
Stakeholder,ApplicationEvent,Access,deny
Stakeholder,ApplicationEvent,Influence,deny
Stakeholder,ApplicationEvent,Triggering,deny
Stakeholder,ApplicationEvent,Flow,deny
Stakeholder,ApplicationEvent,Specialization,deny
Stakeholder,ApplicationEvent,Association,allow
Stakeholder,ApplicationService,Composition,deny
Stakeholder,ApplicationService,Aggregation,deny
Stakeholder,ApplicationService,Assignment,deny
Stakeholder,ApplicationService,Realization,deny
Stakeholder,ApplicationService,Serving,deny
Stakeholder,ApplicationService,Access,deny
Stakeholder,ApplicationService,Influence,deny
Stakeholder,ApplicationService,Triggering,deny
Stakeholder,ApplicationService,Flow,deny
Stakeholder,ApplicationService,Specialization,deny
Stakeholder,ApplicationService,Association,allow
Stakeholder,DataObject,Composition,deny
Stakeholder,DataObject,Aggregation,deny
Stakeholder,DataObject,Assignment,deny
Stakeholder,DataObject,Realization,deny
Stakeholder,DataObject,Serving,deny
Stakeholder,DataObject,Access,deny
Stakeholder,DataObject,Influence,deny
Stakeholder,DataObject,Triggering,deny
Stakeholder,DataObject,Flow,deny
Stakeholder,DataObject,Specialization,deny
Stakeholder,DataObject,Association,allow
Stakeholder,Node,Composition,deny
Stakeholder,Node,Aggregation,deny
Stakeholder,Node,Assignment,deny
Stakeholder,Node,Realization,deny
Stakeholder,Node,Serving,deny
Stakeholder,Node,Access,deny
Stakeholder,Node,Influence,deny
Stakeholder,Node,Triggering,deny
Stakeholder,Node,Flow,deny
Stakeholder,Node,Specialization,deny
Stakeholder,Node,Association,allow
Stakeholder,Device,Composition,deny
Stakeholder,Device,Aggregation,deny
Stakeholder,Device,Assignment,deny
Stakeholder,Device,Realization,deny
Stakeholder,Device,Serving,deny
Stakeholder,Device,Access,deny
Stakeholder,Device,Influence,deny
Stakeholder,Device,Triggering,deny
Stakeholder,Device,Flow,deny
Stakeholder,Device,Specialization,deny
Stakeholder,Device,Association,allow
Stakeholder,SystemSoftware,Composition,deny
Stakeholder,SystemSoftware,Aggregation,deny
Stakeholder,SystemSoftware,Assignment,deny
Stakeholder,SystemSoftware,Realization,deny
Stakeholder,SystemSoftware,Serving,deny
Stakeholder,SystemSoftware,Access,deny
Stakeholder,SystemSoftware,Influence,deny
Stakeholder,SystemSoftware,Triggering,deny
Stakeholder,SystemSoftware,Flow,deny
Stakeholder,SystemSoftware,Specialization,deny
Stakeholder,SystemSoftware,Association,allow
Stakeholder,TechnologyCollaboration,Composition,deny
Stakeholder,TechnologyCollaboration,Aggregation,deny
Stakeholder,TechnologyCollaboration,Assignment,deny
Stakeholder,TechnologyCollaboration,Realization,deny
Stakeholder,TechnologyCollaboration,Serving,deny
Stakeholder,TechnologyCollaboration,Access,deny
Stakeholder,TechnologyCollaboration,Influence,deny
Stakeholder,TechnologyCollaboration,Triggering,deny
Stakeholder,TechnologyCollaboration,Flow,deny
Stakeholder,TechnologyCollaboration,Specialization,deny
Stakeholder,TechnologyCollaboration,Association,allow
Stakeholder,TechnologyInterface,Composition,deny
Stakeholder,TechnologyInterface,Aggregation,deny
Stakeholder,TechnologyInterface,Assignment,deny
Stakeholder,TechnologyInterface,Realization,deny
Stakeholder,TechnologyInterface,Serving,deny
Stakeholder,TechnologyInterface,Access,deny
Stakeholder,TechnologyInterface,Influence,deny
Stakeholder,TechnologyInterface,Triggering,deny
Stakeholder,TechnologyInterface,Flow,deny
Stakeholder,TechnologyInterface,Specialization,deny
Stakeholder,TechnologyInterface,Association,allow
Stakeholder,Path,Composition,deny
Stakeholder,Path,Aggregation,deny
Stakeholder,Path,Assignment,deny
Stakeholder,Path,Realization,deny
Stakeholder,Path,Serving,deny
Stakeholder,Path,Access,deny
Stakeholder,Path,Influence,deny
Stakeholder,Path,Triggering,deny
Stakeholder,Path,Flow,deny
Stakeholder,Path,Specialization,deny
Stakeholder,Path,Association,allow
Stakeholder,CommunicationNetwork,Composition,deny
Stakeholder,CommunicationNetwork,Aggregation,deny
Stakeholder,CommunicationNetwork,Assignment,deny
Stakeholder,CommunicationNetwork,Realization,deny
Stakeholder,CommunicationNetwork,Serving,deny
Stakeholder,CommunicationNetwork,Access,deny
Stakeholder,CommunicationNetwork,Influence,deny
Stakeholder,CommunicationNetwork,Triggering,deny
Stakeholder,CommunicationNetwork,Flow,deny
Stakeholder,CommunicationNetwork,Specialization,deny
Stakeholder,CommunicationNetwork,Association,allow
Stakeholder,TechnologyFunction,Composition,deny
Stakeholder,TechnologyFunction,Aggregation,deny
Stakeholder,TechnologyFunction,Assignment,deny
Stakeholder,TechnologyFunction,Realization,deny
Stakeholder,TechnologyFunction,Serving,deny
Stakeholder,TechnologyFunction,Access,deny
Stakeholder,TechnologyFunction,Influence,deny
Stakeholder,TechnologyFunction,Triggering,deny
Stakeholder,TechnologyFunction,Flow,deny
Stakeholder,TechnologyFunction,Specialization,deny
Stakeholder,TechnologyFunction,Association,allow
Stakeholder,TechnologyProcess,Composition,deny
Stakeholder,TechnologyProcess,Aggregation,deny
Stakeholder,TechnologyProcess,Assignment,deny
Stakeholder,TechnologyProcess,Realization,deny
Stakeholder,TechnologyProcess,Serving,deny
Stakeholder,TechnologyProcess,Access,deny
Stakeholder,TechnologyProcess,Influence,deny
Stakeholder,TechnologyProcess,Triggering,deny
Stakeholder,TechnologyProcess,Flow,deny
Stakeholder,TechnologyProcess,Specialization,deny
Stakeholder,TechnologyProcess,Association,allow
Stakeholder,TechnologyInteraction,Composition,deny
Stakeholder,TechnologyInteraction,Aggregation,deny
Stakeholder,TechnologyInteraction,Assignment,deny
Stakeholder,TechnologyInteraction,Realization,deny
Stakeholder,TechnologyInteraction,Serving,deny
Stakeholder,TechnologyInteraction,Access,deny
Stakeholder,TechnologyInteraction,Influence,deny
Stakeholder,TechnologyInteraction,Triggering,deny
Stakeholder,TechnologyInteraction,Flow,deny
Stakeholder,TechnologyInteraction,Specialization,deny
Stakeholder,TechnologyInteraction,Association,allow
Stakeholder,TechnologyEvent,Composition,deny
Stakeholder,TechnologyEvent,Aggregation,deny
Stakeholder,TechnologyEvent,Assignment,deny
Stakeholder,TechnologyEvent,Realization,deny
Stakeholder,TechnologyEvent,Serving,deny
Stakeholder,TechnologyEvent,Access,deny
Stakeholder,TechnologyEvent,Influence,deny
Stakeholder,TechnologyEvent,Triggering,deny
Stakeholder,TechnologyEvent,Flow,deny
Stakeholder,TechnologyEvent,Specialization,deny
Stakeholder,TechnologyEvent,Association,allow
Stakeholder,TechnologyService,Composition,deny
Stakeholder,TechnologyService,Aggregation,deny
Stakeholder,TechnologyService,Assignment,deny
Stakeholder,TechnologyService,Realization,deny
Stakeholder,TechnologyService,Serving,deny
Stakeholder,TechnologyService,Access,deny
Stakeholder,TechnologyService,Influence,deny
Stakeholder,TechnologyService,Triggering,deny
Stakeholder,TechnologyService,Flow,deny
Stakeholder,TechnologyService,Specialization,deny
Stakeholder,TechnologyService,Association,allow
Stakeholder,Artifact,Composition,deny
Stakeholder,Artifact,Aggregation,deny
Stakeholder,Artifact,Assignment,deny
Stakeholder,Artifact,Realization,deny
Stakeholder,Artifact,Serving,deny
Stakeholder,Artifact,Access,deny
Stakeholder,Artifact,Influence,deny
Stakeholder,Artifact,Triggering,deny
Stakeholder,Artifact,Flow,deny
Stakeholder,Artifact,Specialization,deny
Stakeholder,Artifact,Association,allow
Stakeholder,Equipment,Composition,deny
Stakeholder,Equipment,Aggregation,deny
Stakeholder,Equipment,Assignment,deny
Stakeholder,Equipment,Realization,deny
Stakeholder,Equipment,Serving,deny
Stakeholder,Equipment,Access,deny
Stakeholder,Equipment,Influence,deny
Stakeholder,Equipment,Triggering,deny
Stakeholder,Equipment,Flow,deny
Stakeholder,Equipment,Specialization,deny
Stakeholder,Equipment,Association,allow
Stakeholder,Facility,Composition,deny
Stakeholder,Facility,Aggregation,deny
Stakeholder,Facility,Assignment,deny
Stakeholder,Facility,Realization,deny
Stakeholder,Facility,Serving,deny
Stakeholder,Facility,Access,deny
Stakeholder,Facility,Influence,deny
Stakeholder,Facility,Triggering,deny
Stakeholder,Facility,Flow,deny
Stakeholder,Facility,Specialization,deny
Stakeholder,Facility,Association,allow
Stakeholder,DistributionNetwork,Composition,deny
Stakeholder,DistributionNetwork,Aggregation,deny
Stakeholder,DistributionNetwork,Assignment,deny
Stakeholder,DistributionNetwork,Realization,deny
Stakeholder,DistributionNetwork,Serving,deny
Stakeholder,DistributionNetwork,Access,deny
Stakeholder,DistributionNetwork,Influence,deny
Stakeholder,DistributionNetwork,Triggering,deny
Stakeholder,DistributionNetwork,Flow,deny
Stakeholder,DistributionNetwork,Specialization,deny
Stakeholder,DistributionNetwork,Association,allow
Stakeholder,Material,Composition,deny
Stakeholder,Material,Aggregation,deny
Stakeholder,Material,Assignment,deny
Stakeholder,Material,Realization,deny
Stakeholder,Material,Serving,deny
Stakeholder,Material,Access,deny
Stakeholder,Material,Influence,deny
Stakeholder,Material,Triggering,deny
Stakeholder,Material,Flow,deny
Stakeholder,Material,Specialization,deny
Stakeholder,Material,Association,allow
Stakeholder,WorkPackage,Composition,deny
Stakeholder,WorkPackage,Aggregation,deny
Stakeholder,WorkPackage,Assignment,deny
Stakeholder,WorkPackage,Realization,deny
Stakeholder,WorkPackage,Serving,deny
Stakeholder,WorkPackage,Access,deny
Stakeholder,WorkPackage,Influence,deny
Stakeholder,WorkPackage,Triggering,deny
Stakeholder,WorkPackage,Flow,deny
Stakeholder,WorkPackage,Specialization,deny
Stakeholder,WorkPackage,Association,allow
Stakeholder,Deliverable,Composition,deny
Stakeholder,Deliverable,Aggregation,deny
Stakeholder,Deliverable,Assignment,deny
Stakeholder,Deliverable,Realization,deny
Stakeholder,Deliverable,Serving,deny
Stakeholder,Deliverable,Access,deny
Stakeholder,Deliverable,Influence,deny
Stakeholder,Deliverable,Triggering,deny
Stakeholder,Deliverable,Flow,deny
Stakeholder,Deliverable,Specialization,deny
Stakeholder,Deliverable,Association,allow
Stakeholder,ImplementationEvent,Composition,deny
Stakeholder,ImplementationEvent,Aggregation,deny
Stakeholder,ImplementationEvent,Assignment,deny
Stakeholder,ImplementationEvent,Realization,deny
Stakeholder,ImplementationEvent,Serving,deny
Stakeholder,ImplementationEvent,Access,deny
Stakeholder,ImplementationEvent,Influence,deny
Stakeholder,ImplementationEvent,Triggering,deny
Stakeholder,ImplementationEvent,Flow,deny
Stakeholder,ImplementationEvent,Specialization,deny
Stakeholder,ImplementationEvent,Association,allow
Stakeholder,Plateau,Composition,deny
Stakeholder,Plateau,Aggregation,deny
Stakeholder,Plateau,Assignment,deny
Stakeholder,Plateau,Realization,deny
Stakeholder,Plateau,Serving,deny
Stakeholder,Plateau,Access,deny
Stakeholder,Plateau,Influence,deny
Stakeholder,Plateau,Triggering,deny
Stakeholder,Plateau,Flow,deny
Stakeholder,Plateau,Specialization,deny
Stakeholder,Plateau,Association,allow
Stakeholder,Gap,Composition,deny
Stakeholder,Gap,Aggregation,deny
Stakeholder,Gap,Assignment,deny
Stakeholder,Gap,Realization,deny
Stakeholder,Gap,Serving,deny
Stakeholder,Gap,Access,deny
Stakeholder,Gap,Influence,deny
Stakeholder,Gap,Triggering,deny
Stakeholder,Gap,Flow,deny
Stakeholder,Gap,Specialization,deny
Stakeholder,Gap,Association,allow
Stakeholder,Location,Composition,warn
Stakeholder,Location,Aggregation,warn
Stakeholder,Location,Assignment,deny
Stakeholder,Location,Realization,deny
Stakeholder,Location,Serving,deny
Stakeholder,Location,Access,deny
Stakeholder,Location,Influence,deny
Stakeholder,Location,Triggering,deny
Stakeholder,Location,Flow,deny
Stakeholder,Location,Specialization,deny
Stakeholder,Location,Association,allow
Stakeholder,Grouping,Composition,warn
Stakeholder,Grouping,Aggregation,warn
Stakeholder,Grouping,Assignment,deny
Stakeholder,Grouping,Realization,deny
Stakeholder,Grouping,Serving,deny
Stakeholder,Grouping,Access,deny
Stakeholder,Grouping,Influence,deny
Stakeholder,Grouping,Triggering,deny
Stakeholder,Grouping,Flow,deny
Stakeholder,Grouping,Specialization,deny
Stakeholder,Grouping,Association,allow
Driver,Stakeholder,Composition,warn
Driver,Stakeholder,Aggregation,warn
Driver,Stakeholder,Assignment,deny
Driver,Stakeholder,Realization,deny
Driver,Stakeholder,Serving,deny
Driver,Stakeholder,Access,deny
Driver,Stakeholder,Influence,allow
Driver,Stakeholder,Triggering,deny
Driver,Stakeholder,Flow,deny
Driver,Stakeholder,Specialization,deny
Driver,Stakeholder,Association,allow
Driver,Driver,Composition,allow
Driver,Driver,Aggregation,allow
Driver,Driver,Assignment,deny
